mean_fpktl,std_fpktl,mean_fiat,std_fiat,fpkt_rate,fbyte_rate,class
8351,7878,22436,65030,4.4591E-05,0.372390858,remoteForwarding
8358,7957,21383,63188,4.67766E-05,0.390971482,remoteForwarding
8438,7911,18458,54861,5.41803E-05,0.457180716,remoteForwarding
8362,7909,22394,65156,4.46409E-05,0.373325751,remoteForwarding
185,217,55016,41738,1.93101E-05,0.003573506,remoteForwarding
8368,7974,21998,65568,4.54483E-05,0.380316094,remoteForwarding
8430,7904,18983,56777,5.26853E-05,0.444184644,remoteForwarding
8369,7919,23193,68254,4.31047E-05,0.36075279,remoteForwarding
7831,7805,29831,88932,3.34921E-05,0.262304116,remoteForwarding
8380,7982,22586,67689,4.42663E-05,0.370977893,remoteForwarding
8434,7911,19470,58627,5.13583E-05,0.43317265,remoteForwarding
8374,7932,23855,70378,4.19238E-05,0.351074916,remoteForwarding
8120,7941,29927,89974,3.33989E-05,0.271206545,remoteForwarding
8387,7992,23081,69576,4.33311E-05,0.363452286,remoteForwarding
8436,7912,19924,60321,5.01964E-05,0.42346812,remoteForwarding
8364,7920,24388,72441,4.10019E-05,0.342955492,remoteForwarding
8233,7986,30101,90611,3.32535E-05,0.273791648,remoteForwarding
8392,7988,23602,71426,4.23627E-05,0.355546801,remoteForwarding
8437,7920,20397,62194,4.90197E-05,0.413585047,remoteForwarding
8365,7928,25000,74756,3.99928E-05,0.334551416,remoteForwarding
7323,7726,40257,117096,2.48426E-05,0.181942162,remoteForwarding
8275,8008,30461,92244,3.28211E-05,0.271615054,remoteForwarding
8260,8024,31894,96862,3.1374E-05,0.25915122,remoteForwarding
8394,7980,24241,73765,4.12594E-05,0.346369928,remoteForwarding
8438,7924,20952,64603,4.77336E-05,0.402808931,remoteForwarding
8372,7941,25696,77560,3.89105E-05,0.32578944,remoteForwarding
7997,7787,37613,112831,2.66492E-05,0.213119943,remoteForwarding
168,210,65329,51107,1.61573E-05,0.002722933,remoteForwarding
7219,8119,46662,136879,2.15944E-05,0.155909652,remoteForwarding
8392,7981,24650,75405,4.05742E-05,0.340510335,remoteForwarding
8441,7925,21354,66186,4.68339E-05,0.395340776,remoteForwarding
8385,7952,26195,79456,3.8183E-05,0.320191267,remoteForwarding
8146,7882,34937,106455,2.86616E-05,0.233490611,remoteForwarding
8012,8062,39552,119932,2.52829E-05,0.202566634,remoteForwarding
8397,7979,25217,77602,3.96513E-05,0.3329849,remoteForwarding
8440,7930,21819,68145,4.58267E-05,0.386815093,remoteForwarding
8387,7956,26839,82067,3.72661E-05,0.312584489,remoteForwarding
8146,7818,35071,106192,2.85096E-05,0.232267473,remoteForwarding
8174,8059,38503,117591,2.59712E-05,0.212305581,remoteForwarding
8398,7975,25713,79405,3.88964E-05,0.326688742,remoteForwarding
8434,7918,22278,69994,4.48823E-05,0.378549719,remoteForwarding
8389,7953,27392,84069,3.65136E-05,0.306315149,remoteForwarding
8208,7862,35537,107935,2.81615E-05,0.231161776,remoteForwarding
8268,8026,38231,116288,2.61574E-05,0.216272001,remoteForwarding
8402,7973,26148,80972,3.82398E-05,0.321310794,remoteForwarding
8431,7912,22710,71648,4.40372E-05,0.371292049,remoteForwarding
8387,7950,27866,85695,3.58828E-05,0.300951738,remoteForwarding
8226,7806,35676,107605,2.80344E-05,0.230619762,remoteForwarding
8181,7809,35926,107600,2.78525E-05,0.227864101,remoteForwarding
168,210,63664,53787,1.658E-05,0.002794164,remoteForwarding
8278,7999,36397,111048,2.74958E-05,0.227634525,remoteForwarding
8401,7972,26416,81838,3.78599E-05,0.318064099,remoteForwarding
6522,7892,45326,131197,2.23371E-05,0.145704309,remoteForwarding
8427,7906,22975,72447,4.35289E-05,0.366853095,remoteForwarding
8390,7949,28065,86257,3.56287E-05,0.298926764,remoteForwarding
8314,7998,36320,110860,2.75305E-05,0.228911963,remoteForwarding
8397,7969,26762,83128,3.73639E-05,0.313750343,remoteForwarding
8072,7814,38278,112200,2.61221E-05,0.210869083,remoteForwarding
8431,7904,23393,73995,4.27441E-05,0.360383891,remoteForwarding
8392,7951,28548,88127,3.50338E-05,0.29401888,remoteForwarding
8347,7982,36555,111361,2.73709E-05,0.2284701,remoteForwarding
8395,7971,27106,84350,3.68892E-05,0.309720489,remoteForwarding
8203,7868,37924,112810,2.64103E-05,0.21666162,remoteForwarding
8429,7897,23755,75299,4.21002E-05,0.354881124,remoteForwarding
8391,7949,28899,89387,3.46016E-05,0.29036742,remoteForwarding
8353,7997,36584,111881,2.73324E-05,0.228310613,remoteForwarding
8397,7975,27469,85658,3.6409E-05,0.305737089,remoteForwarding
8288,7831,37653,112432,2.65564E-05,0.220105661,remoteForwarding
8431,7895,24088,76448,4.15107E-05,0.350007557,remoteForwarding
8383,7946,29199,90478,3.42452E-05,0.287095375,remoteForwarding
8353,7996,36578,112137,2.73378E-05,0.228378449,remoteForwarding
8388,7969,27762,86743,3.60174E-05,0.302131602,remoteForwarding
8319,7856,37568,112634,2.6641E-05,0.221632136,remoteForwarding
8431,7895,24420,77618,4.09467E-05,0.345244142,remoteForwarding
8382,7942,29509,91512,3.38852E-05,0.284048013,remoteForwarding
8354,7994,36747,112678,2.72231E-05,0.227443976,remoteForwarding
8384,7966,28013,87596,3.56955E-05,0.299298037,remoteForwarding
8373,7852,37645,112559,2.65823E-05,0.222580305,remoteForwarding
8431,7894,24752,78725,4.04033E-05,0.34066998,remoteForwarding
8388,7947,29830,92572,3.35211E-05,0.281191067,remoteForwarding
8361,7999,36674,112704,2.72665E-05,0.227975904,remoteForwarding
8382,7964,28290,88536,3.53459E-05,0.296301891,remoteForwarding
8400,7840,37480,111734,2.66795E-05,0.224128986,remoteForwarding
8432,7893,25044,79667,3.99319E-05,0.336743033,remoteForwarding
8389,7950,30101,93430,3.32193E-05,0.278700121,remoteForwarding
8371,7986,36696,112541,2.72592E-05,0.228194654,remoteForwarding
8382,7960,28595,89459,3.49684E-05,0.293139626,remoteForwarding
8416,7857,37469,111995,2.67016E-05,0.224727483,remoteForwarding
8432,7895,25326,80693,3.94881E-05,0.332994044,remoteForwarding
8389,7955,30355,94280,3.29473E-05,0.276416083,remoteForwarding
8370,7989,36697,112531,2.7258E-05,0.228167881,remoteForwarding
8383,7959,28842,90266,3.46749E-05,0.290692814,remoteForwarding
8430,7860,37464,111837,2.67039E-05,0.225117644,remoteForwarding
8436,7891,25594,81522,3.90694E-05,0.32959727,remoteForwarding
8386,7950,30555,94975,3.2732E-05,0.274516155,remoteForwarding
8371,7980,36747,112570,2.7212E-05,0.227794465,remoteForwarding
8383,7957,29078,90917,3.43935E-05,0.288328066,remoteForwarding
8434,7871,37404,112207,2.67341E-05,0.225495328,remoteForwarding
8433,7885,25855,82341,3.86804E-05,0.326222903,remoteForwarding
8382,7944,30763,95586,3.25105E-05,0.27252808,remoteForwarding
8377,7984,36719,112573,2.72328E-05,0.22814409,remoteForwarding
8383,7957,29286,91566,3.41436E-05,0.286242855,remoteForwarding
8442,7876,37383,112298,2.67498E-05,0.225822281,remoteForwarding
8436,7883,26106,83073,3.83072E-05,0.323184109,remoteForwarding
8376,7932,30923,95977,3.23363E-05,0.270877625,remoteForwarding
8381,7983,36724,112652,2.72359E-05,0.228270496,remoteForwarding
8383,7956,29483,92184,3.39206E-05,0.284370838,remoteForwarding
8446,7884,37438,112554,2.6719E-05,0.2256721,remoteForwarding
8438,7887,26340,83828,3.79625E-05,0.320354817,remoteForwarding
8382,7937,31149,96610,3.2102E-05,0.269100019,remoteForwarding
8387,7990,36786,112906,2.71902E-05,0.228055501,remoteForwarding
8381,7953,29686,92749,3.36882E-05,0.282362239,remoteForwarding
8454,7893,37401,112531,2.67381E-05,0.226047775,remoteForwarding
8436,7889,26592,84706,3.76073E-05,0.317286333,remoteForwarding
8382,7931,31301,97018,3.19512E-05,0.267815204,remoteForwarding
8394,7996,36823,113003,2.71626E-05,0.228014055,remoteForwarding
8377,7952,29868,93488,3.34789E-05,0.280475081,remoteForwarding
8461,7896,37408,112622,2.67356E-05,0.22621059,remoteForwarding
8439,7894,26776,85324,3.73452E-05,0.315156383,remoteForwarding
8378,7930,31458,97543,3.17866E-05,0.266331423,remoteForwarding
8388,7991,36759,112956,2.72032E-05,0.228197757,remoteForwarding
8379,7956,30063,94163,3.32662E-05,0.278740703,remoteForwarding
8458,7893,37357,112488,2.67683E-05,0.226414976,remoteForwarding
8439,7886,26994,86019,3.70426E-05,0.312604467,remoteForwarding
8382,7933,31636,98089,3.16124E-05,0.264997523,remoteForwarding
8386,7985,36744,112845,2.7215E-05,0.228243627,remoteForwarding
8379,7952,30230,94638,3.30827E-05,0.277227456,remoteForwarding
8459,7905,37354,112552,2.67773E-05,0.226529555,remoteForwarding
8438,7890,27188,86663,3.67797E-05,0.310371534,remoteForwarding
8381,7932,31785,98547,3.14644E-05,0.263710689,remoteForwarding
8389,7985,36769,113079,2.72016E-05,0.228197945,remoteForwarding
8375,7951,30374,95153,3.29211E-05,0.275731633,remoteForwarding
8464,7912,37311,112435,2.68012E-05,0.226870995,remoteForwarding
8439,7887,27379,87237,3.65221E-05,0.308220145,remoteForwarding
8385,7928,31929,98934,3.13222E-05,0.262652556,remoteForwarding
8392,7986,36802,113125,2.71176E-05,0.227576307,remoteForwarding
8370,7948,30518,95640,3.27694E-05,0.274310607,remoteForwarding
8470,7920,37329,112557,2.67877E-05,0.226912758,remoteForwarding
8439,7890,27552,87743,3.62928E-05,0.306276131,remoteForwarding
8382,7926,32050,99320,3.12001E-05,0.261530289,remoteForwarding
8397,7987,36824,113142,2.71555E-05,0.228034169,remoteForwarding
8372,7948,30657,95963,3.26175E-05,0.273089783,remoteForwarding
8472,7920,37313,112494,2.68008E-05,0.227062712,remoteForwarding
8440,7891,27737,88306,3.60516E-05,0.3042779,remoteForwarding
8381,7921,32172,99717,3.10818E-05,0.260524914,remoteForwarding
8404,7988,36851,113273,2.71405E-05,0.228094874,remoteForwarding
8367,7941,30752,96083,3.25205E-05,0.27210662,remoteForwarding
8467,7925,37348,112897,2.67749E-05,0.22671378,remoteForwarding
8438,7887,27921,88865,3.58132E-05,0.30221062,remoteForwarding
8382,7923,32276,99962,3.09819E-05,0.259718403,remoteForwarding
8398,7984,36855,113339,2.71369E-05,0.227921224,remoteForwarding
8368,7944,30883,96488,3.23793E-05,0.270963282,remoteForwarding
8468,7930,37338,112960,2.67815E-05,0.226787753,remoteForwarding
8437,7887,28088,89399,3.56036E-05,0.300401952,remoteForwarding
8381,7921,32395,100326,3.08712E-05,0.258751727,remoteForwarding
8403,7982,36860,113338,2.71289E-05,0.227978401,remoteForwarding
8368,7940,31013,96794,3.22467E-05,0.269862911,remoteForwarding
8468,7936,37325,113063,2.6796E-05,0.226928382,remoteForwarding
8439,7891,28245,89881,3.54027E-05,0.29877366,remoteForwarding
8381,7923,32492,100684,3.07795E-05,0.257990969,remoteForwarding
8406,7985,36879,113392,2.71148E-05,0.227937816,remoteForwarding
8364,7936,31103,97027,3.21497E-05,0.26892619,remoteForwarding
8470,7922,37347,112910,2.67803E-05,0.226840863,remoteForwarding
8440,7894,28410,90405,3.52005E-05,0.297115358,remoteForwarding
8382,7922,32615,101052,3.06633E-05,0.257040226,remoteForwarding
8407,7986,36914,113418,2.70929E-05,0.227787172,remoteForwarding
8364,7933,31229,97304,3.2023E-05,0.267864873,remoteForwarding
8466,7920,37310,112784,2.68019E-05,0.226930671,remoteForwarding
8440,7896,28551,90857,3.50242E-05,0.29562337,remoteForwarding
8382,7919,32712,101358,3.05718E-05,0.256270247,remoteForwarding
8409,7988,36919,113459,2.70856E-05,0.227771296,remoteForwarding
8361,7931,31317,97631,3.19303E-05,0.266970861,remoteForwarding
8467,7928,37302,112772,2.68072E-05,0.226999,remoteForwarding
8438,7895,28682,91252,3.48642E-05,0.294209906,remoteForwarding
8384,7924,32798,101635,3.04918E-05,0.255655204,remoteForwarding
8409,7985,37020,113924,2.70155E-05,0.227187645,remoteForwarding
8360,7925,31396,97880,3.18526E-05,0.266294939,remoteForwarding
8467,7928,37440,113507,2.67087E-05,0.226147576,remoteForwarding
8439,7894,28814,91614,3.47073E-05,0.292909381,remoteForwarding
8378,7921,32818,101695,3.04701E-05,0.255306557,remoteForwarding
8407,7981,36996,113890,2.70331E-05,0.227267923,remoteForwarding
8359,7924,31495,98156,3.17525E-05,0.265449342,remoteForwarding
8467,7930,37395,113428,2.67413E-05,0.226423823,remoteForwarding
8437,7889,28939,92049,3.45541E-05,0.29154146,remoteForwarding
8383,7918,32925,101963,3.03708E-05,0.25462372,remoteForwarding
8404,7976,36967,113740,2.70507E-05,0.227350546,remoteForwarding
8361,7925,31582,98394,3.1663E-05,0.264747122,remoteForwarding
8468,7929,37406,113464,2.67366E-05,0.226422837,remoteForwarding
8435,7889,29063,92384,3.44064E-05,0.290243892,remoteForwarding
8384,7922,33040,102316,3.02686E-05,0.253781117,remoteForwarding
8403,7973,36954,113685,2.70597E-05,0.22740552,remoteForwarding
8361,7925,31695,98725,3.1552E-05,0.263821988,remoteForwarding
8467,7923,37386,113392,2.67474E-05,0.226485222,remoteForwarding
8437,7886,29195,92690,3.42513E-05,0.288997086,remoteForwarding
8385,7919,33117,102557,3.0195E-05,0.253208289,remoteForwarding
8401,7968,36949,113698,2.70635E-05,0.22737836,remoteForwarding
8361,7924,31788,98938,3.14603E-05,0.263065678,remoteForwarding
8468,7920,37377,113380,2.67577E-05,0.226587447,remoteForwarding
8436,7887,29311,93033,3.41153E-05,0.287824553,remoteForwarding
8383,7915,33181,102703,3.01372E-05,0.252648228,remoteForwarding
8401,7967,36956,113735,2.70616E-05,0.227370404,remoteForwarding
8361,7922,31871,99139,3.1376E-05,0.262345833,remoteForwarding
8468,7927,37369,113418,2.67595E-05,0.2266131,remoteForwarding
8438,7890,29434,93400,3.39731E-05,0.286672038,remoteForwarding
8385,7916,33264,102969,3.00617E-05,0.252085378,remoteForwarding
8401,7965,36954,113738,2.7063E-05,0.227382024,remoteForwarding
8360,7920,31962,99495,3.12862E-05,0.261572536,remoteForwarding
8463,7923,37373,113535,2.67564E-05,0.226446865,remoteForwarding
8439,7890,29544,93673,3.3847E-05,0.285646641,remoteForwarding
8384,7918,33313,103143,3.00173E-05,0.251679888,remoteForwarding
8398,7961,36924,113668,2.70818E-05,0.227454453,remoteForwarding
8360,7920,32050,99764,3.12028E-05,0.260875601,remoteForwarding
8464,7926,37389,113652,2.67483E-05,0.226419211,remoteForwarding
8439,7893,29662,93997,3.37148E-05,0.284551337,remoteForwarding
8383,7916,33383,103370,2.99549E-05,0.251136089,remoteForwarding
8399,7966,36964,113768,2.70554E-05,0.227253228,remoteForwarding
8362,7922,32152,100077,3.1101E-05,0.26007494,remoteForwarding
8466,7926,37416,113870,2.6729E-05,0.226312908,remoteForwarding
8440,7894,29779,94408,3.35797E-05,0.28341964,remoteForwarding
8383,7920,33472,103698,2.98769E-05,0.250469749,remoteForwarding
8399,7967,36966,113751,2.70539E-05,0.227233629,remoteForwarding
8364,7922,32243,100389,3.10134E-05,0.25939729,remoteForwarding
8469,7914,37396,113631,2.67433E-05,0.22648947,remoteForwarding
8440,7897,29888,94725,3.34595E-05,0.282405164,remoteForwarding
8385,7922,33531,103875,2.98219E-05,0.250064827,remoteForwarding
8399,7968,36961,113720,2.70578E-05,0.22728152,remoteForwarding
8363,7921,32321,100688,3.09413E-05,0.258764169,remoteForwarding
8469,7907,37411,113608,2.67294E-05,0.226396303,remoteForwarding
8440,7896,30000,95036,3.33348E-05,0.281366963,remoteForwarding
8386,7920,33599,104046,2.97645E-05,0.249634536,remoteForwarding
8400,7970,36951,113696,2.70648E-05,0.227353228,remoteForwarding
8363,7922,32390,100901,3.08727E-05,0.258188282,remoteForwarding
8471,7912,37395,113608,2.67411E-05,0.226531599,remoteForwarding
8440,7893,30083,95244,3.32423E-05,0.280583487,remoteForwarding
8387,7918,33667,104170,2.97016E-05,0.249121332,remoteForwarding
8399,7965,36929,113664,2.70782E-05,0.227443588,remoteForwarding
8361,7919,32462,101135,3.08066E-05,0.257586026,remoteForwarding
8474,7915,37386,113619,2.67472E-05,0.226663507,remoteForwarding
8441,7895,30176,95505,3.31405E-05,0.279763928,remoteForwarding
8389,7920,33736,104409,2.96438E-05,0.248686321,remoteForwarding
8397,7960,36927,113694,2.70802E-05,0.22739814,remoteForwarding
8363,7920,32540,101337,3.07302E-05,0.257021091,remoteForwarding
8474,7914,37431,113677,2.67182E-05,0.226431758,remoteForwarding
8440,7893,30263,95711,3.30421E-05,0.278905242,remoteForwarding
8391,7919,33787,104457,2.95967E-05,0.248347138,remoteForwarding
8397,7959,36931,113658,2.70794E-05,0.227398111,remoteForwarding
8363,7922,32599,101523,3.06746E-05,0.256554855,remoteForwarding
8474,7914,37423,113645,2.6721E-05,0.226456144,remoteForwarding
8441,7894,30352,95935,3.29463E-05,0.278132559,remoteForwarding
8391,7920,33859,104657,2.95359E-05,0.247854116,remoteForwarding
8398,7960,36955,113697,2.70616E-05,0.227283775,remoteForwarding
8364,7920,32674,101694,3.06064E-05,0.255999316,remoteForwarding
8473,7909,37409,113606,2.67309E-05,0.22651326,remoteForwarding
8442,7890,30449,96121,3.28413E-05,0.277278199,remoteForwarding
8392,7921,33897,104745,2.95008E-05,0.247573652,remoteForwarding
8395,7950,36927,113419,2.70798E-05,0.227345474,remoteForwarding
8360,7915,32725,101718,3.05572E-05,0.255486803,remoteForwarding
8476,7907,37404,113442,2.67345E-05,0.226604293,remoteForwarding
8442,7891,30534,96356,3.27515E-05,0.276489566,remoteForwarding
8392,7916,33943,104850,2.94602E-05,0.247236782,remoteForwarding
8393,7947,36931,113415,2.70767E-05,0.227274937,remoteForwarding
8360,7910,32784,101784,3.05021E-05,0.255027801,remoteForwarding
8472,7896,37371,113253,2.67583E-05,0.226714412,remoteForwarding
8440,7886,30603,96486,3.26764E-05,0.27581699,remoteForwarding
8387,7907,33988,104844,2.94232E-05,0.24679497,remoteForwarding
8386,7937,36908,113270,2.70941E-05,0.227214293,remoteForwarding
8360,7909,32850,101982,3.04428E-05,0.254519979,remoteForwarding
8471,7893,37365,113181,2.67624E-05,0.226720028,remoteForwarding
8439,7884,30669,96635,3.26048E-05,0.275181037,remoteForwarding
8382,7901,34016,104875,2.93995E-05,0.246437911,remoteForwarding
8389,7929,36918,113079,2.70887E-05,0.22726143,remoteForwarding
8363,7907,32918,102079,3.03795E-05,0.254073731,remoteForwarding
8470,7895,37371,113164,2.67605E-05,0.226682363,remoteForwarding
8440,7879,30757,96792,3.2514E-05,0.274446532,remoteForwarding
8381,7898,34059,104970,2.93604E-05,0.246076852,remoteForwarding
8392,7926,36894,112904,2.7104E-05,0.227466909,remoteForwarding
8359,7899,32965,102037,3.0336E-05,0.253607165,remoteForwarding
8460,7879,37315,112825,2.67981E-05,0.226712591,remoteForwarding
8439,7875,30829,96948,3.24377E-05,0.273764421,remoteForwarding
8378,7896,34127,105049,2.93032E-05,0.245528909,remoteForwarding
8389,7917,36827,112536,2.71534E-05,0.227790607,remoteForwarding
8355,7893,32942,101918,3.03558E-05,0.25365114,remoteForwarding
8455,7870,37209,112530,2.68769E-05,0.227248916,remoteForwarding
8435,7871,30951,97065,3.23084E-05,0.272527264,remoteForwarding
8371,7887,34192,104965,2.92479E-05,0.244852177,remoteForwarding
8389,7908,36780,112287,2.71902E-05,0.228107784,remoteForwarding
8352,7890,33009,101983,3.02936E-05,0.25302952,remoteForwarding
8453,7868,37149,112308,2.69203E-05,0.227583088,remoteForwarding
8427,7862,31028,97034,3.22297E-05,0.271615735,remoteForwarding
8366,7881,34201,104926,2.924E-05,0.244625105,remoteForwarding
8391,7904,36771,112106,2.71972E-05,0.228215539,remoteForwarding
8351,7884,33058,101952,3.02509E-05,0.252648445,remoteForwarding
8445,7855,37112,112048,2.69453E-05,0.227561522,remoteForwarding
8423,7855,31098,97115,3.21563E-05,0.270878034,remoteForwarding
8362,7873,34250,104981,2.91961E-05,0.244166837,remoteForwarding
8387,7894,36681,111748,2.72615E-05,0.228652201,remoteForwarding
8342,7875,33155,101972,3.01621E-05,0.251619778,remoteForwarding
8440,7840,37006,111617,2.70218E-05,0.228068616,remoteForwarding
8418,7853,31202,97212,3.20497E-05,0.269812972,remoteForwarding
8361,7864,34234,104778,2.92115E-05,0.244239912,remoteForwarding
8383,7885,36638,111443,2.72932E-05,0.228824076,remoteForwarding
8340,7871,33191,101988,3.01283E-05,0.251275891,remoteForwarding
8435,7826,36991,111379,2.70332E-05,0.22804553,remoteForwarding
8415,7848,31250,97335,3.19993E-05,0.269288736,remoteForwarding
8358,7861,34246,104829,2.92002E-05,0.244065753,remoteForwarding
8374,7873,36622,111191,2.73055E-05,0.228660923,remoteForwarding
8337,7869,33217,102046,3.01045E-05,0.251003596,remoteForwarding
8429,7809,36986,110983,2.70385E-05,0.227930414,remoteForwarding
8412,7844,31297,97476,3.19515E-05,0.268803218,remoteForwarding
8356,7858,34258,104877,2.91894E-05,0.243922394,remoteForwarding
8366,7860,36664,111036,2.72757E-05,0.228199166,remoteForwarding
8336,7867,33232,102073,3.00905E-05,0.25084295,remoteForwarding
8428,7809,36946,110862,2.70662E-05,0.228121272,remoteForwarding
8409,7839,31368,97543,3.18803E-05,0.268100724,remoteForwarding
8358,7854,34264,104816,2.91842E-05,0.243929782,remoteForwarding
8369,7852,36670,110909,2.72714E-05,0.22824745,remoteForwarding
8334,7862,33265,102106,3.00623E-05,0.250551277,remoteForwarding
8431,7801,36974,110904,2.70477E-05,0.228042692,remoteForwarding
8408,7835,31434,97674,3.18137E-05,0.267509367,remoteForwarding
8357,7850,34290,104757,2.9162E-05,0.243724327,remoteForwarding
8368,7846,36702,110742,2.7248E-05,0.22803271,remoteForwarding
8333,7861,33317,102181,3.00144E-05,0.250130491,remoteForwarding
8426,7792,36927,110641,2.70822E-05,0.22819942,remoteForwarding
8405,7828,31471,97608,3.17763E-05,0.267097341,remoteForwarding
8354,7846,34330,104791,2.913E-05,0.243378049,remoteForwarding
8366,7842,36632,110469,2.72991E-05,0.228391899,remoteForwarding
8329,7853,33364,102052,2.99719E-05,0.249663071,remoteForwarding
8414,7778,36935,110269,2.70743E-05,0.22781314,remoteForwarding
8400,7822,31521,97670,3.17252E-05,0.266495274,remoteForwarding
8353,7843,34304,104696,2.91507E-05,0.243500368,remoteForwarding
8359,7835,36609,110283,2.73171E-05,0.228345398,remoteForwarding
8328,7849,33428,102089,2.99158E-05,0.249156886,remoteForwarding
8413,7771,36934,110059,2.70751E-05,0.22779145,remoteForwarding
8401,7818,31580,97738,3.1666E-05,0.266054519,remoteForwarding
8351,7843,34340,104740,2.91203E-05,0.243192514,remoteForwarding
8358,7828,36584,110139,2.73336E-05,0.228466467,remoteForwarding
8327,7846,33456,102057,2.98891E-05,0.248906472,remoteForwarding
8417,7765,36917,109973,2.70893E-05,0.2280231,remoteForwarding
8396,7814,31608,97747,3.16369E-05,0.265636168,remoteForwarding
8346,7833,34362,104553,2.9101E-05,0.242899264,remoteForwarding
8357,7829,36582,110155,2.73354E-05,0.228457228,remoteForwarding
8328,7848,33505,102246,2.98471E-05,0.248584115,remoteForwarding
8417,7769,36949,110103,2.70658E-05,0.227817588,remoteForwarding
8393,7807,31671,97822,3.15736E-05,0.265002323,remoteForwarding
8346,7835,34411,104735,2.90617E-05,0.242571875,remoteForwarding
8357,7827,36560,110134,2.73517E-05,0.22859476,remoteForwarding
8327,7848,33535,102293,2.98202E-05,0.248324138,remoteForwarding
8413,7763,36947,110023,2.70672E-05,0.227723428,remoteForwarding
8388,7801,31725,97858,3.15201E-05,0.264411442,remoteForwarding
8344,7831,34406,104698,2.90636E-05,0.242534776,remoteForwarding
8351,7823,36597,110091,2.73262E-05,0.22822102,remoteForwarding
8329,7851,33557,102368,2.98008E-05,0.248221161,remoteForwarding
8404,7749,36930,109746,2.70779E-05,0.227577028,remoteForwarding
8388,7798,31764,97958,3.14832E-05,0.264112349,remoteForwarding
8343,7826,34438,104653,2.90368E-05,0.242276216,remoteForwarding
8340,7806,36571,109704,2.73433E-05,0.228054403,remoteForwarding
8328,7848,33575,102414,2.97849E-05,0.248054075,remoteForwarding
8408,7750,36883,109614,2.7114E-05,0.227978912,remoteForwarding
8386,7793,31824,98023,3.14216E-05,0.263502517,remoteForwarding
8340,7818,34451,104505,2.90262E-05,0.242080989,remoteForwarding
8337,7802,36523,109524,2.7381E-05,0.228292013,remoteForwarding
8329,7845,33597,102359,2.9765E-05,0.24793705,remoteForwarding
8404,7745,36892,109459,2.71077E-05,0.22781741,remoteForwarding
8379,7786,31898,98123,3.13501E-05,0.262684953,remoteForwarding
8340,7817,34450,104527,2.90273E-05,0.242109718,remoteForwarding
8334,7797,36518,109390,2.73849E-05,0.228240075,remoteForwarding
